"ravens_group","score","unique_id","start_time"
2,24,"b25ecdce38f9d894b9b30f352988a7290041da9e","2021-11-02 16:08:07"
6,9,"85c8d7aa6b524357fff648ff39a4a6dbc60b90f7","2021-11-02 18:02:50"
6,19,"a64dbe58d736c47ee52b1795e3f2cf7461eab619","2021-11-02 18:17:52"
6,25,"0107abef0bffeae478134ef5829c20c55d50cabd","2021-11-02 18:36:11"
1,12,"cbc0d54c0fe9d2d871c2c2f1ce449987b6c5785f","2021-11-02 19:04:48"
2,16,"83bfa971010f29fd5cda0134bd6a10de9e405f2b","2021-11-02 20:09:45"
2,19,"b5151d1df48113bfdd7613b00d8a20f3caaeae78","2021-11-02 20:39:05"
5,26,"befd1516df80ac8575033ddc4416209b53681456","2021-11-02 21:12:01"
4,13,"14b4d157b10afc2dbf4c3da54f0a72fb550b6348","2021-11-02 21:13:09"
6,31,"1f7da8ced5e624bd8645e5491d6929ca725c698a","2021-11-02 22:10:56"
6,15,"ebc9346facc87d577defa1d7a06b7f997f9e58de","2021-11-03 14:19:01"
1,16,"6e659eceda7a2b47a7e86931ec816f847113c363","2021-11-03 15:11:26"
3,25,"50cfc63cb9d37082305e42c2c2edcaf707b4072f","2021-11-03 15:57:05"
3,27,"d188f134cfb69f46bd5712997291b9cb22eb7904","2021-11-03 16:16:04"
4,29,"9d3b70a81095b2ebf068c81585fb5fb61c472b92","2021-11-03 17:09:00"
1,17,"0f9960b00b39729d9a78e3f4524e4d0caa2980ae","2021-11-03 20:15:32"
3,2,"407c03756888ece4dd2a6006d3ae2b3a53f6b8f9","2021-11-03 20:22:10"
4,20,"93cfbccc85d4959959c5fc2028eb31ece931b4b2","2021-11-03 20:29:41"
1,17,"ecc1728777ba0eb55a64293de0f91d4dff20987e","2021-11-03 20:45:25"
1,20,"f4846d8b11fc0a85173189a34bbeed2676c7e287","2021-11-03 20:54:33"
3,15,"427e78769cce22be2bc136637e026c7efac61bdc","2021-11-04 14:23:29"
5,26,"6797b1adcb3d70c6a57aaa038237178b0a253b74","2021-11-04 15:09:34"
3,16,"cb0e5b04ac0dc6b850eb7e3f72f2b6a63757296c","2021-11-04 15:41:06"
1,23,"4880b13a7981db29326e52e10b2feda71612604d","2021-11-04 17:06:32"
3,12,"5a94efcda0eb2a6628159e4224832bc9e4a40a05","2021-11-04 17:16:52"
1,12,"ac741c9c8e6a8dad6cb8211a09e70b9aa054a311","2021-11-04 17:18:53"
3,27,"43b3fa374b49e49eebaae415c732f58942221831","2021-11-04 17:43:15"
5,12,"365fb7057eea7f23578a77f34691b2cdefb2deab","2021-11-04 17:52:32"
3,9,"4fb101a45989a1de712a632bb9fdcc55b07355be","2021-11-04 18:13:36"
1,20,"8229143ff1c3cca9ee6fb7b81a2270173f7e41c3","2021-11-04 19:07:29"
5,26,"13942431c4dcf721f68c00662ea08048281d5661","2021-11-04 21:00:37"
1,17,"86fc65ea14231765b66d4284905d0e38c50c9cf4","2021-11-04 21:01:02"
6,13,"c3f7711a798152c77a7e1fbac378ff6e82061c5a","2021-11-04 21:17:47"
5,17,"497a0617508b947956bb8ca8d8541ab56784e35b","2021-11-05 14:07:32"
4,10,"a0c44e99ce397070a8d87b8d437b4f97da560b53","2021-11-05 16:00:30"
5,13,"f49f25b0a9e27227d03d940fa7021ac5a0e2a2cc","2021-11-05 18:09:07"
3,27,"762d4418f6ce62cfc7fee341dc16139c9e70cdf0","2021-11-05 18:09:54"
4,5,"5d1529d40add231c52f8574f7f126bc8e59ae9f3","2021-11-05 18:10:21"
5,29,"b9e11b86cfaac4e514c6e8524a5f6573789e0031","2021-11-05 18:10:27"
1,22,"201a2572961afc0ef5e02d813f1375964fde4cbf","2021-11-05 18:55:37"
3,18,"e567cfff7016212b30ecc09464b5446f89f0e8c7","2021-11-05 19:21:14"
2,24,"cd9834a39551765bfffdfe3536ce093d5aa1f019","2021-11-05 22:01:05"
4,26,"f5329e655a25246dbf205bf7ba7c8a42f3331d5e","2021-11-06 16:04:05"
NA,15,"b9ce9b71ef782ef6c6e803501927cc59fe55b2cd","2021-11-08 19:32:09"
4,6,"023bf3114274c3ea3ad916a8969124f3b432d5aa","2021-11-08 20:10:32"
3,17,"c880f15919991eeb30887ebb08ef64d85979ef11","2021-11-09 16:39:01"
5,9,"f4849515eecec507dfc2f06ac8130dad9435ee40","2021-11-09 18:06:33"
6,20,"cf6b8c697afe31a6c587bca01221e08de18e3bb0","2021-11-09 18:17:08"
3,15,"c76b37c25961f1839554fab60e7f643a34c441d2","2021-11-09 19:06:11"
6,12,"0feae7269198738124aedffe40985242879cccd1","2021-11-09 19:22:16"
4,22,"4498c0e2e0cc5fc40959b44246811fc70cfb022d","2021-11-09 20:08:38"
1,18,"0d2a7f2e5248c4c0bd7e9de622f527eac13e637a","2021-11-09 20:24:49"
1,11,"cb572205eb13c61f58f9a4cac5059914a0368514","2021-11-09 21:32:24"
1,14,"06567906a87140a2ef4f41e4f67ca98829a323c1","2021-11-09 21:49:09"
6,25,"6373122f783ef263a245dff244787679f5f6753a","2021-11-09 23:08:56"
6,24,"0aaf0c71749c534e33661fd6ea7f864e0b833f61","2021-11-10 15:05:29"
6,20,"84a93caf289301a8a0673ddc743d46159264d9f9","2021-11-10 16:05:17"
2,20,"5f5820aa823a5719d9463a79c656934a50946a0a","2021-11-10 16:24:50"
1,28,"6394365db99aab543f2c7b4e382a4ed9ddf163d4","2021-11-10 18:33:16"
6,8,"9ab268bced6eb3921264b4a5d530df4698ed70bf","2021-11-10 20:05:52"
1,10,"0fb29883e2946a034e22ac797321f79d2681924e","2021-11-10 20:16:02"
1,23,"88276c151f95e7a049960548a5db37db1f17cfe6","2021-11-10 21:36:01"
6,7,"ab7f43074f97c791bd87b285e22ad1a96a0ff981","2021-11-10 21:41:32"
4,27,"2b8690aa8fdd0ee15d99597298044e26eb07a641","2021-11-10 21:49:00"
3,20,"32b8bfdc4fd3bf1543253e84beadc3bb2b8067fa","2021-11-10 22:08:18"
5,31,"b5ca3ee7bd871ecbb169732cb9e930a013490358","2021-11-10 22:12:31"
3,20,"0d4596a18cad814d7f4c6229190fc0b950c48074","2021-11-10 23:06:49"
5,12,"5ee8bd87d7f78c0b58403316fab23f20eea860ab","2021-11-11 16:12:08"
6,14,"cb1bddba714de26c95a26fa6aa93788af889de85","2021-11-11 17:13:47"
